Phi,P,variable,value,SD
0.7,0.01,Non.resident,1,0
0.7,0.1,Non.resident,1,0
0.7,0.2,Non.resident,0.999842942,0.001105649
0.7,0.3,Non.resident,0.999299247,0.002225424
0.7,0.4,Non.resident,0.996851664,0.00420047
0.7,0.5,Non.resident,0.99131334,0.006311194
0.7,0.6,Non.resident,0.983026118,0.007852779
0.7,0.7,Non.resident,0.971850492,0.010660756
0.7,0.8,Non.resident,0.955003807,0.013576498
0.7,0.9,Non.resident,0.939124535,0.016261393
0.7,1,Non.resident,0.922033333,0.014716894
0.75,0.01,Non.resident,1,0
0.75,0.1,Non.resident,1,0
0.75,0.2,Non.resident,0.999572939,0.001701115
0.75,0.3,Non.resident,0.998509837,0.002889815
0.75,0.4,Non.resident,0.992982733,0.005912796
0.75,0.5,Non.resident,0.981885362,0.008528918
0.75,0.6,Non.resident,0.968261202,0.012380632
0.75,0.7,Non.resident,0.948896751,0.014621564
0.75,0.8,Non.resident,0.930423784,0.015282928
0.75,0.9,Non.resident,0.906868332,0.017473496
0.75,1,Non.resident,0.880233333,0.021660864
0.8,0.01,Non.resident,1,0
0.8,0.1,Non.resident,1,0
0.8,0.2,Non.resident,0.99981413,0.001063118
0.8,0.3,Non.resident,0.996892738,0.003755645
0.8,0.4,Non.resident,0.990939138,0.007305513
0.8,0.5,Non.resident,0.969623814,0.010805022
0.8,0.6,Non.resident,0.945473629,0.013370005
0.8,0.7,Non.resident,0.909331766,0.017149523
0.8,0.8,Non.resident,0.880959705,0.018860511
0.8,0.9,Non.resident,0.850602114,0.021251552
0.8,1,Non.resident,0.820633333,0.022331524
0.85,0.01,Non.resident,1,0
0.85,0.1,Non.resident,1,0
0.85,0.2,Non.resident,0.999050595,0.002385215
0.85,0.3,Non.resident,0.994256123,0.005034773
0.85,0.4,Non.resident,0.978006822,0.009784087
0.85,0.5,Non.resident,0.949044664,0.012637492
0.85,0.6,Non.resident,0.897894295,0.018345393
0.85,0.7,Non.resident,0.858991873,0.019498799
0.85,0.8,Non.resident,0.809465817,0.021706383
0.85,0.9,Non.resident,0.774773535,0.025124687
0.85,1,Non.resident,0.735233333,0.021671225
0.9,0.01,Non.resident,1,0
0.9,0.1,Non.resident,1,0
0.9,0.2,Non.resident,0.998745748,0.002395295
0.9,0.3,Non.resident,0.988026156,0.007766904
0.9,0.4,Non.resident,0.958964104,0.011834585
0.9,0.5,Non.resident,0.894249236,0.020334498
0.9,0.6,Non.resident,0.819806624,0.023261106
0.9,0.7,Non.resident,0.75109826,0.02409168
0.9,0.8,Non.resident,0.6816045,0.028304978
0.9,0.9,Non.resident,0.639772739,0.030447145
0.9,1,Non.resident,0.594733333,0.031057602
0.95,0.01,Non.resident,1,0
0.95,0.1,Non.resident,1,0
0.95,0.2,Non.resident,0.997591313,0.003005354
0.95,0.3,Non.resident,0.978039726,0.009121794
0.95,0.4,Non.resident,0.909259282,0.019406988
0.95,0.5,Non.resident,0.790185987,0.022507695
0.95,0.6,Non.resident,0.676629993,0.027811478
0.95,0.7,Non.resident,0.561344565,0.033260389
0.95,0.8,Non.resident,0.495863168,0.027267045
0.95,0.9,Non.resident,0.442933688,0.028076083
0.95,1,Non.resident,0.409733333,0.028782555
100,0.01,Non.resident,1,0
100,0.1,Non.resident,0.999872743,0.000727662
100,0.2,Non.resident,0.994553525,0.004581944
100,0.3,Non.resident,0.949919132,0.011025113
100,0.4,Non.resident,0.789404831,0.021572506
100,0.5,Non.resident,0.575086469,0.02554432
100,0.6,Non.resident,0.361422114,0.025335517
100,0.7,Non.resident,0.262872611,0.026624371
100,0.8,Non.resident,0.194939045,0.023587864
100,0.9,Non.resident,0.167450765,0.022851663
100,1,Non.resident,0.1498,0.02064515
0.7,0.01,Resident,0,0
0.7,0.1,Resident,0,0
0.7,0.2,Resident,0.000157058,0.001105649
0.7,0.3,Resident,0.000700753,0.002225424
0.7,0.4,Resident,0.003148336,0.00420047
0.7,0.5,Resident,0.00868666,0.006311194
0.7,0.6,Resident,0.016973882,0.007852779
0.7,0.7,Resident,0.028149508,0.010660756
0.7,0.8,Resident,0.044996193,0.013576498
0.7,0.9,Resident,0.060875465,0.016261393
0.7,1,Resident,0.077966667,0.014716894
0.75,0.01,Resident,0,0
0.75,0.1,Resident,0,0
0.75,0.2,Resident,0.000427061,0.001701115
0.75,0.3,Resident,0.001490163,0.002889815
0.75,0.4,Resident,0.007017267,0.005912796
0.75,0.5,Resident,0.018114638,0.008528918
0.75,0.6,Resident,0.031738798,0.012380632
0.75,0.7,Resident,0.051103249,0.014621564
0.75,0.8,Resident,0.069576216,0.015282928
0.75,0.9,Resident,0.093131668,0.017473496
0.75,1,Resident,0.119766667,0.021660864
0.8,0.01,Resident,0,0
0.8,0.1,Resident,0,0
0.8,0.2,Resident,0.00018587,0.001063118
0.8,0.3,Resident,0.003107262,0.003755645
0.8,0.4,Resident,0.009060862,0.007305513
0.8,0.5,Resident,0.030376186,0.010805022
0.8,0.6,Resident,0.054526371,0.013370005
0.8,0.7,Resident,0.090668234,0.017149523
0.8,0.8,Resident,0.119040295,0.018860511
0.8,0.9,Resident,0.149397886,0.021251552
0.8,1,Resident,0.179366667,0.022331524
0.85,0.01,Resident,0,0
0.85,0.1,Resident,0,0
0.85,0.2,Resident,0.000949405,0.002385215
0.85,0.3,Resident,0.005743877,0.005034773
0.85,0.4,Resident,0.021993178,0.009784087
0.85,0.5,Resident,0.050955336,0.012637492
0.85,0.6,Resident,0.102105705,0.018345393
0.85,0.7,Resident,0.141008127,0.019498799
0.85,0.8,Resident,0.190534183,0.021706383
0.85,0.9,Resident,0.225226465,0.025124687
0.85,1,Resident,0.264766667,0.021671225
0.9,0.01,Resident,0,0
0.9,0.1,Resident,0,0
0.9,0.2,Resident,0.001254252,0.002395295
0.9,0.3,Resident,0.011973844,0.007766904
0.9,0.4,Resident,0.041035896,0.011834585
0.9,0.5,Resident,0.105750764,0.020334498
0.9,0.6,Resident,0.180193376,0.023261106
0.9,0.7,Resident,0.24890174,0.02409168
0.9,0.8,Resident,0.3183955,0.028304978
0.9,0.9,Resident,0.360227261,0.030447145
0.9,1,Resident,0.405266667,0.031057602
0.95,0.01,Resident,0,0
0.95,0.1,Resident,0,0
0.95,0.2,Resident,0.002408687,0.003005354
0.95,0.3,Resident,0.021960274,0.009121794
0.95,0.4,Resident,0.090740718,0.019406988
0.95,0.5,Resident,0.209814013,0.022507695
0.95,0.6,Resident,0.323370007,0.027811478
0.95,0.7,Resident,0.438655435,0.033260389
0.95,0.8,Resident,0.504136832,0.027267045
0.95,0.9,Resident,0.557066312,0.028076083
0.95,1,Resident,0.590266667,0.028782555
100,0.01,Resident,0,0
100,0.1,Resident,0.000127257,0.000727662
100,0.2,Resident,0.005446475,0.004581944
100,0.3,Resident,0.050080868,0.011025113
100,0.4,Resident,0.210595169,0.021572506
100,0.5,Resident,0.424913531,0.02554432
100,0.6,Resident,0.638577886,0.025335517
100,0.7,Resident,0.737127389,0.026624371
100,0.8,Resident,0.805060955,0.023587864
100,0.9,Resident,0.832549235,0.022851663
100,1,Resident,0.8502,0.02064515
