Phi,P,variable,value,SE
0.7,0.01,Non resident,1,0
0.7,0.1,Non resident,1,0
0.7,0.2,Non resident,1,0
0.7,0.3,Non resident,1,0
0.7,0.4,Non resident,1,0
0.7,0.5,Non resident,1,0
0.7,0.6,Non resident,1,0
0.7,0.7,Non resident,0.999618532,0.001379545
0.7,0.8,Non resident,0.999599511,0.001259457
0.7,0.9,Non resident,0.998894629,0.002018252
0.7,1,Non resident,0.998433333,0.002142772
0.75,0.01,Non resident,1,0
0.75,0.1,Non resident,1,0
0.75,0.2,Non resident,1,0
0.75,0.3,Non resident,1,0
0.75,0.4,Non resident,1,0
0.75,0.5,Non resident,0.999829335,0.000840526
0.75,0.6,Non resident,0.999684162,0.001076639
0.75,0.7,Non resident,0.998998178,0.001957355
0.75,0.8,Non resident,0.997613612,0.002681257
0.75,0.9,Non resident,0.99636553,0.003733431
0.75,1,Non resident,0.9946,0.003842581
0.8,0.01,Non resident,1,0
0.8,0.1,Non resident,1,0
0.8,0.2,Non resident,1,0
0.8,0.3,Non resident,1,0
0.8,0.4,Non resident,0.999818882,0.000892072
0.8,0.5,Non resident,0.99947106,0.001375713
0.8,0.6,Non resident,0.998090801,0.002449734
0.8,0.7,Non resident,0.995264311,0.003700251
0.8,0.8,Non resident,0.99299034,0.004459745
0.8,0.9,Non resident,0.989236215,0.005241863
0.8,1,Non resident,0.986733333,0.006865388
0.85,0.01,Non resident,1,0
0.85,0.1,Non resident,1,0
0.85,0.2,Non resident,1,0
0.85,0.3,Non resident,0.999949749,0.000502513
0.85,0.4,Non resident,0.999505395,0.001346833
0.85,0.5,Non resident,0.998553079,0.00258382
0.85,0.6,Non resident,0.993371383,0.004588345
0.85,0.7,Non resident,0.988106978,0.006940318
0.85,0.8,Non resident,0.979229516,0.008263533
0.85,0.9,Non resident,0.973844028,0.008950101
0.85,1,Non resident,0.9661,0.01010667
0.9,0.01,Non resident,1,0
0.9,0.1,Non resident,1,0
0.9,0.2,Non resident,1,0
0.9,0.3,Non resident,0.999872098,0.000955582
0.9,0.4,Non resident,0.998968736,0.0020785
0.9,0.5,Non resident,0.992739476,0.005149043
0.9,0.6,Non resident,0.977178966,0.008407494
0.9,0.7,Non resident,0.958458025,0.011184265
0.9,0.8,Non resident,0.93362391,0.012426206
0.9,0.9,Non resident,0.923809186,0.016129792
0.9,1,Non resident,0.910733333,0.015653229
0.95,0.01,Non resident,1,0
0.95,0.1,Non resident,1,0
0.95,0.2,Non resident,1,0
0.95,0.3,Non resident,0.999764403,0.000937535
0.95,0.4,Non resident,0.995302596,0.004527342
0.95,0.5,Non resident,0.972148465,0.008656088
0.95,0.6,Non resident,0.930851388,0.015811835
0.95,0.7,Non resident,0.861828183,0.020917463
0.95,0.8,Non resident,0.82065323,0.022145772
0.95,0.9,Non resident,0.793474374,0.023916714
0.95,1,Non resident,0.7758,0.024987629
1,0.01,Non resident,1,0
1,0.1,Non resident,1,0
1,0.2,Non resident,1,0
1,0.3,Non resident,0.999005617,0.001821772
1,0.4,Non resident,0.979321559,0.008509463
1,0.5,Non resident,0.908903196,0.015146374
1,0.6,Non resident,0.73911502,0.027192938
1,0.7,Non resident,0.624775184,0.032025661
1,0.8,Non resident,0.504238495,0.030441208
1,0.9,Non resident,0.468019353,0.028350913
1,1,Non resident,0.450533333,0.02958645
0.7,0.01,Resident,0,0
0.7,0.1,Resident,0,0
0.7,0.2,Resident,0,0
0.7,0.3,Resident,0,0
0.7,0.4,Resident,0,0
0.7,0.5,Resident,0,0
0.7,0.6,Resident,0.000158607,0.000781015
0.7,0.7,Resident,0.000381468,0.001379545
0.7,0.8,Resident,0.000400489,0.001259457
0.7,0.9,Resident,0.001105371,0.002018252
0.7,1,Resident,0.001566667,0.002142772
0.75,0.01,Resident,0,0
0.75,0.1,Resident,0,0
0.75,0.2,Resident,0,0
0.75,0.3,Resident,0,0
0.75,0.4,Resident,0,0
0.75,0.5,Resident,0.000170665,0.000840526
0.75,0.6,Resident,0.000315838,0.001076639
0.75,0.7,Resident,0.001001822,0.001957355
0.75,0.8,Resident,0.002386388,0.002681257
0.75,0.9,Resident,0.00363447,0.003733431
0.75,1,Resident,0.0054,0.003842581
0.8,0.01,Resident,0,0
0.8,0.1,Resident,0,0
0.8,0.2,Resident,0,0
0.8,0.3,Resident,0,0
0.8,0.4,Resident,0.000181118,0.000892072
0.8,0.5,Resident,0.00052894,0.001375713
0.8,0.6,Resident,0.001909199,0.002449734
0.8,0.7,Resident,0.004735689,0.003700251
0.8,0.8,Resident,0.00700966,0.004459745
0.8,0.9,Resident,0.010763785,0.005241863
0.8,1,Resident,0.013266667,0.006865388
0.85,0.01,Resident,0.00E+00,0
0.85,0.1,Resident,0.00E+00,0
0.85,0.2,Resident,0.00E+00,0
0.85,0.3,Resident,5.03E-05,0.000502513
0.85,0.4,Resident,0.000494605,0.001346833
0.85,0.5,Resident,0.001446921,0.00258382
0.85,0.6,Resident,0.006628617,0.004588345
0.85,0.7,Resident,0.011893022,0.006940318
0.85,0.8,Resident,0.020770484,0.008263533
0.85,0.9,Resident,0.026155972,0.008950101
0.85,1,Resident,0.0339,0.01010667
0.9,0.01,Resident,0,0
0.9,0.1,Resident,0,0
0.9,0.2,Resident,0,0
0.9,0.3,Resident,0.000127902,0.000955582
0.9,0.4,Resident,0.001031264,0.0020785
0.9,0.5,Resident,0.007260524,0.005149043
0.9,0.6,Resident,0.022821034,0.008407494
0.9,0.7,Resident,0.041541975,0.011184265
0.9,0.8,Resident,0.06637609,0.012426206
0.9,0.9,Resident,0.076190814,0.016129792
0.9,1,Resident,0.089266667,0.015653229
0.95,0.01,Resident,0,0
0.95,0.1,Resident,0,0
0.95,0.2,Resident,0,0
0.95,0.3,Resident,0.000235597,0.000937535
0.95,0.4,Resident,0.004697404,0.004527342
0.95,0.5,Resident,0.027851535,0.008656088
0.95,0.6,Resident,0.069148612,0.015811835
0.95,0.7,Resident,0.138171817,0.020917463
0.95,0.8,Resident,0.17934677,0.022145772
0.95,0.9,Resident,0.206525626,0.023916714
0.95,1,Resident,0.2242,0.024987629
1,0.01,Resident,0,0
1,0.1,Resident,0,0
1,0.2,Resident,0,0
1,0.3,Resident,0.000994383,0.001821772
1,0.4,Resident,0.020678441,0.008509463
1,0.5,Resident,0.091096804,0.015146374
1,0.6,Resident,0.26088498,0.027192938
1,0.7,Resident,0.375224816,0.032025661
1,0.8,Resident,0.495761505,0.030441208
1,0.9,Resident,0.531980647,0.028350913
1,1,Resident,0.549466667,0.02958645
