"Var1","Var2","value","SE"
"p01","Phi70",1.01603914141414,0.0430555563031974
"p10","Phi70",1.20236193274291,0.0563979978799468
"p20","Phi70",1.42820773273286,0.0701479115551297
"p30","Phi70",1.6468215217998,0.0750581970364005
"p40","Phi70",1.83834121933224,0.078479259318059
"p50","Phi70",2.06191159181391,0.0897721727422598
"p60","Phi70",2.28883372535028,0.117230710544849
"p70","Phi70",2.48945909226568,0.125872278750175
"p80","Phi70",2.71431521286117,0.133780676378624
"p90","Phi70",2.94597992283967,0.153401068996514
"p100","Phi70",3.14896666666667,0.155508430812841
"p01","Phi75",1.02225169683258,0.0447577500903747
"p10","Phi75",1.26674717172649,0.0651492263414887
"p20","Phi75",1.53294009656427,0.0828230582773014
"p30","Phi75",1.80615973664734,0.0967819276033845
"p40","Phi75",2.08043171759057,0.0973243116771073
"p50","Phi75",2.36192733973851,0.11595133730608
"p60","Phi75",2.60975913430755,0.11969576336236
"p70","Phi75",2.86715710296399,0.142281213045519
"p80","Phi75",3.13654073411781,0.150694816449153
"p90","Phi75",3.40528655914691,0.18067308160405
"p100","Phi75",3.715,0.203309045301075
"p01","Phi80",1.02882270663222,0.0454060117460445
"p10","Phi80",1.33834570749035,0.069850052352834
"p20","Phi80",1.70576563215871,0.0826286777179993
"p30","Phi80",2.0402232929505,0.0989104689922357
"p40","Phi80",2.36465133889105,0.12350107530676
"p50","Phi80",2.73638071126595,0.126361675099235
"p60","Phi80",3.07928957870323,0.152304556526416
"p70","Phi80",3.48128158539614,0.172125388570356
"p80","Phi80",3.78504567275644,0.184238299304879
"p90","Phi80",4.14132559632454,0.201905964444339
"p100","Phi80",4.46866666666667,0.245856344868317
"p01","Phi85",1.0432468340229,0.0581359584577957
"p10","Phi85",1.45917203741358,0.0821051655127048
"p20","Phi85",1.91796082821211,0.104876011478468
"p30","Phi85",2.3889418593248,0.117798634638055
"p40","Phi85",2.86370606313562,0.143534694024432
"p50","Phi85",3.30933607195629,0.169153728336083
"p60","Phi85",3.83775875290861,0.200861016887259
"p70","Phi85",4.2442233983921,0.199410599876774
"p80","Phi85",4.75509290603164,0.218258288096485
"p90","Phi85",5.16552957837305,0.282653082760675
"p100","Phi85",5.62053333333333,0.232519369117049
"p01","Phi90",1.05847165354698,0.0550676163486807
"p10","Phi90",1.64600843721317,0.0795857858067165
"p20","Phi90",2.3242785844787,0.1230220819505
"p30","Phi90",2.97457518540588,0.143343198050606
"p40","Phi90",3.64986101909709,0.202065600592223
"p50","Phi90",4.37946037795543,0.227779568134261
"p60","Phi90",5.01477958845823,0.224663545528641
"p70","Phi90",5.6679330726161,0.294828845902782
"p80","Phi90",6.4994620060791,0.3210972587049
"p90","Phi90",7.05626209239071,0.352087620985777
"p100","Phi90",7.76216666666667,0.399862876328023
"p01","Phi95",1.08866436396736,0.0551442414393721
"p10","Phi95",1.98427699118071,0.100059315893293
"p20","Phi95",2.96611382904327,0.160569304514143
"p30","Phi95",3.96946987789873,0.17744683190373
"p40","Phi95",5.19376649073983,0.268703550718463
"p50","Phi95",6.30451414731108,0.259807224779485
"p60","Phi95",7.15588188237779,0.323141633862521
"p70","Phi95",8.47308030902492,0.455894638808358
"p80","Phi95",9.52221506987856,0.43917258491216
"p90","Phi95",10.6893765566011,0.453607131113863
"p100","Phi95",11.7114666666667,0.553937708961623
"p01","Phi100",1.12487733309071,0.0534881710582225
"p10","Phi100",2.65029283442184,0.107708748441888
"p20","Phi100",4.54791111830565,0.163115184605015
"p30","Phi100",6.23788680210173,0.200739547167915
"p40","Phi100",8.552101479456,0.222988385884493
"p50","Phi100",10.0329404221562,0.312504872567516
"p60","Phi100",12.257918920773,0.398194133677053
"p70","Phi100",13.4888930692253,0.502962294595744
"p80","Phi100",16.1894288116898,0.569436299907856
"p90","Phi100",18.2642178513167,0.578544784518565
"p100","Phi100",20.2158333333333,0.613743161093467
